iter	Passed	Remaining
0	129	129626
1	130	65302
2	131	43836
3	133	33227
4	134	26831
5	136	22535
6	137	19550
7	139	17281
8	141	15543
9	142	14113
10	144	13024
11	146	12093
12	148	11256
13	149	10532
14	152	10008
15	154	9491
16	155	9016
17	157	8611
18	159	8214
19	160	7854
20	161	7546
21	163	7263
22	164	6992
23	165	6743
24	167	6514
25	168	6304
26	169	6123
27	171	5937
28	172	5770
29	173	5611
30	174	5467
31	176	5328
32	177	5197
33	178	5072
34	179	4954
35	181	4851
36	182	4749
37	183	4650
38	184	4556
39	186	4476
40	187	4393
41	189	4313
42	190	4235
43	191	4163
44	193	4098
45	194	4026
46	195	3956
47	196	3890
48	197	3826
49	198	3773
50	199	3719
51	200	3663
52	202	3610
53	203	3560
54	204	3513
55	205	3467
56	206	3421
57	207	3374
58	208	3329
59	210	3290
60	211	3250
61	212	3209
62	213	3170
63	214	3134
64	215	3101
65	216	3070
66	217	3034
67	218	3000
68	220	2978
69	222	2961
70	224	2936
71	225	2908
72	226	2880
73	228	2858
74	230	2840
75	231	2812
76	232	2785
77	233	2759
78	235	2742
79	236	2720
80	237	2695
81	238	2671
82	239	2642
83	241	2629
84	242	2611
85	243	2589
86	244	2568
87	247	2562
88	248	2543
89	249	2525
90	250	2504
91	251	2484
92	253	2469
93	254	2451
94	255	2432
95	256	2413
96	257	2395
97	258	2377
98	259	2365
99	260	2348
100	262	2332
101	262	2314
102	263	2297
103	266	2292
104	267	2276
105	268	2260
106	269	2245
107	270	2231
108	272	2224
109	273	2210
110	274	2196
111	275	2182
112	276	2168
113	277	2159
114	279	2147
115	280	2134
116	280	2119
117	282	2107
118	283	2100
119	284	2089
120	286	2077
121	286	2063
122	287	2051
123	288	2039
124	290	2034
125	291	2023
126	292	2010
127	293	1999
128	294	1988
129	296	1983
130	297	1973
131	298	1962
132	299	1952
133	300	1941
134	302	1938
135	303	1929
136	304	1919
137	305	1910
138	306	1900
139	307	1889
140	309	1883
141	309	1872
142	310	1863
143	311	1853
144	312	1844
145	313	1834
146	315	1828
147	316	1820
148	317	1811
149	318	1803
150	319	1793
151	320	1785
152	321	1779
153	322	1770
154	323	1763
155	324	1755
156	325	1747
157	327	1743
158	328	1736
159	329	1728
160	329	1719
161	331	1712
162	332	1705
163	333	1700
164	334	1693
165	335	1686
166	336	1679
167	337	1672
168	339	1667
169	340	1663
170	341	1656
171	342	1650
172	343	1643
173	345	1637
174	346	1633
175	347	1629
176	348	1622
177	349	1616
178	351	1611
179	353	1608
180	354	1603
181	355	1596
182	356	1590
183	357	1586
184	359	1582
185	360	1575
186	360	1569
187	361	1562
188	362	1557
189	364	1552
190	365	1547
191	366	1541
192	367	1535
193	368	1530
194	369	1525
195	370	1521
196	371	1516
197	372	1510
198	373	1505
199	375	1500
200	376	1496
201	377	1491
202	378	1485
203	379	1479
204	380	1474
205	381	1469
206	382	1466
207	383	1461
208	384	1456
209	385	1451
210	386	1446
211	388	1442
212	389	1437
213	390	1432
214	391	1427
215	392	1422
216	392	1418
217	394	1414
218	395	1410
219	396	1405
220	397	1400
221	398	1395
222	399	1391
223	400	1388
224	401	1383
225	402	1378
226	403	1374
227	404	1369
228	405	1364
229	406	1361
230	407	1357
231	408	1353
232	409	1349
233	410	1344
234	411	1340
235	413	1338
236	414	1334
237	415	1330
238	416	1325
239	417	1321
240	418	1317
241	419	1314
242	420	1310
243	421	1306
244	422	1302
245	423	1298
246	424	1294
247	426	1292
248	427	1288
249	428	1284
250	428	1280
251	429	1276
252	431	1273
253	432	1270
254	433	1266
255	434	1262
256	435	1258
257	436	1254
258	437	1252
259	438	1248
260	439	1244
261	440	1241
262	441	1237
263	442	1234
264	443	1231
265	444	1227
266	445	1223
267	446	1220
268	447	1216
269	448	1212
270	449	1210
271	450	1207
272	451	1203
273	452	1200
274	453	1196
275	454	1193
276	456	1190
277	457	1187
278	458	1183
279	459	1180
280	460	1177
281	461	1174
282	462	1172
283	463	1168
284	464	1165
285	465	1162
286	466	1158
287	467	1156
288	468	1153
289	469	1150
290	470	1147
291	471	1144
292	472	1141
293	474	1139
294	475	1136
295	476	1133
296	477	1130
297	478	1127
298	479	1124
299	481	1123
300	482	1120
301	483	1117
302	484	1114
303	485	1111
304	486	1109
305	488	1106
306	489	1103
307	489	1100
308	490	1097
309	491	1095
310	493	1093
311	494	1090
312	495	1087
313	496	1084
314	497	1081
315	498	1078
316	500	1077
317	500	1074
318	501	1071
319	502	1068
320	503	1065
321	505	1063
322	506	1061
323	507	1058
324	508	1055
325	509	1052
326	510	1050
327	511	1048
328	512	1046
329	513	1043
330	514	1040
331	515	1037
332	516	1035
333	518	1033
334	519	1030
335	520	1028
336	521	1026
337	522	1023
338	524	1022
339	525	1019
340	526	1016
341	527	1013
342	528	1011
343	529	1009
344	530	1007
345	531	1005
346	532	1002
347	533	1000
348	534	997
349	535	995
350	537	992
351	538	990
352	539	988
353	540	985
354	541	984
355	542	982
356	544	979
357	545	977
358	546	975
359	547	972
360	548	971
361	549	969
362	550	966
363	551	964
364	553	962
365	554	960
366	555	957
367	556	955
368	557	953
369	558	951
370	560	951
371	562	949
372	563	946
373	564	944
374	565	942
375	567	941
376	568	939
377	569	937
378	570	934
379	571	932
380	573	930
381	574	928
382	575	926
383	576	924
384	577	922
385	579	921
386	580	919
387	581	916
388	582	914
389	583	912
390	584	910
391	585	908
392	586	906
393	587	904
394	588	902
395	590	900
396	591	899
397	593	897
398	594	894
399	595	892
400	596	890
401	598	889
402	599	887
403	600	885
404	601	883
405	602	881
406	604	880
407	605	877
408	606	875
409	607	873
410	608	871
411	610	870
412	611	868
413	612	866
414	613	864
415	614	862
416	616	861
417	617	859
418	618	857
419	619	855
420	620	853
421	622	852
422	623	850
423	624	848
424	625	846
425	626	844
426	628	843
427	629	841
428	630	839
429	631	837
430	632	835
431	634	833
432	635	832
433	636	830
434	637	828
435	638	825
436	639	824
437	641	822
438	642	820
439	643	818
440	643	816
441	644	814
442	646	812
443	647	811
444	648	809
445	649	807
446	650	805
447	652	803
448	653	802
449	654	800
450	655	798
451	656	795
452	657	794
453	658	792
454	659	790
455	660	788
456	661	786
457	663	784
458	665	784
459	666	782
460	667	780
461	668	778
462	669	775
463	670	774
464	671	772
465	672	770
466	673	768
467	674	766
468	675	764
469	676	762
470	680	764
471	681	762
472	682	760
473	683	759
474	685	757
475	685	755
476	686	753
477	687	751
478	688	749
479	690	747
480	691	745
481	692	743
482	693	742
483	694	740
484	695	738
485	696	736
486	697	734
487	698	733
488	699	731
489	700	729
490	702	727
491	703	726
492	704	724
493	705	722
494	706	720
495	717	729
496	718	727
497	719	725
498	720	723
499	722	722
500	724	721
501	725	719
502	726	717
503	728	716
504	729	714
505	730	713
506	731	711
507	732	709
508	735	709
509	736	707
510	737	705
511	738	703
512	739	701
513	740	700
514	742	699
515	743	697
516	744	695
517	746	694
518	748	693
519	749	691
520	750	689
521	751	688
522	753	687
523	755	685
524	756	684
525	758	683
526	759	682
527	761	680
528	762	679
529	764	678
530	766	676
531	767	674
532	768	673
533	769	671
534	770	669
535	772	668
536	773	667
537	774	665
538	776	664
539	777	662
540	779	661
541	780	659
542	781	657
543	783	656
544	784	654
545	785	652
546	786	651
547	787	649
548	789	648
549	790	647
550	791	645
551	792	643
552	794	641
553	795	640
554	796	638
555	797	637
556	799	635
557	800	634
558	802	632
559	803	631
560	804	629
561	805	627
562	806	625
563	807	624
564	809	622
565	809	621
566	810	619
567	811	617
568	813	616
569	814	614
570	816	613
571	817	611
572	818	609
573	820	608
574	821	607
575	822	605
576	823	603
577	824	602
578	826	600
579	827	599
580	828	597
581	829	595
582	830	593
583	831	592
584	832	590
585	833	589
586	834	587
587	835	585
588	836	583
589	838	582
590	839	580
591	840	579
592	841	577
593	842	575
594	843	574
595	844	572
596	845	570
597	846	569
598	847	567
599	848	565
600	849	564
601	850	562
602	851	560
603	852	559
604	853	557
605	854	555
606	856	554
607	857	552
608	858	550
609	859	549
610	860	547
611	861	545
612	862	544
613	863	543
614	864	541
615	865	539
616	866	538
617	867	536
618	869	535
619	870	533
620	871	531
621	872	529
622	873	528
623	874	526
624	875	525
625	876	523
626	877	522
627	878	520
628	879	518
629	880	517
630	881	515
631	882	514
632	883	512
633	884	510
634	885	509
635	886	507
636	887	505
637	888	504
638	889	502
639	890	501
640	891	499
641	893	497
642	894	496
643	895	494
644	896	493
645	897	491
646	898	490
647	899	488
648	900	487
649	901	485
650	903	484
651	904	482
652	906	481
653	907	479
654	908	478
655	909	476
656	910	475
657	911	473
658	912	472
659	913	470
660	914	469
661	915	467
662	917	466
663	918	464
664	919	463
665	920	461
666	921	460
667	922	458
668	923	457
669	925	455
670	926	454
671	927	452
672	927	450
673	929	449
674	930	447
675	931	446
676	932	444
677	933	443
678	934	441
679	935	440
680	936	438
681	937	437
682	938	435
683	939	434
684	940	432
685	941	431
686	942	429
687	943	427
688	944	426
689	945	424
690	946	423
691	948	421
692	949	420
693	950	418
694	951	417
695	951	415
696	952	414
697	954	412
698	955	411
699	956	409
700	957	408
701	957	406
702	958	405
703	960	403
704	961	402
705	962	400
706	963	399
707	964	397
708	965	396
709	966	394
710	967	393
711	968	391
712	969	390
713	970	388
714	971	387
715	972	385
716	973	384
717	974	382
718	975	381
719	976	379
720	977	378
721	978	376
722	979	375
723	980	373
724	981	372
725	982	370
726	983	369
727	985	368
728	986	366
729	987	365
730	988	363
731	989	362
732	990	360
733	991	359
734	992	357
735	993	356
736	994	355
737	996	353
738	998	352
739	999	351
740	1000	349
741	1001	348
742	1003	347
743	1004	345
744	1005	344
745	1006	342
746	1007	341
747	1009	340
748	1010	338
749	1012	337
750	1013	335
751	1014	334
752	1016	333
753	1018	332
754	1019	330
755	1020	329
756	1022	328
757	1023	326
758	1024	325
759	1025	323
760	1026	322
761	1027	321
762	1029	319
763	1030	318
764	1031	316
765	1032	315
766	1033	313
767	1035	312
768	1036	311
769	1038	310
770	1039	308
771	1041	307
772	1042	306
773	1043	304
774	1044	303
775	1047	302
776	1048	300
777	1049	299
778	1050	298
779	1052	296
780	1053	295
781	1055	294
782	1056	292
783	1058	291
784	1060	290
785	1061	289
786	1063	287
787	1065	286
788	1066	285
789	1068	283
790	1069	282
791	1071	281
792	1073	280
793	1074	278
794	1075	277
795	1076	275
796	1078	274
797	1079	273
798	1080	271
799	1081	270
800	1083	269
801	1084	267
802	1086	266
803	1087	265
804	1088	263
805	1090	262
806	1091	261
807	1093	259
808	1094	258
809	1096	257
810	1098	255
811	1102	255
812	1104	253
813	1105	252
814	1106	251
815	1109	250
816	1110	248
817	1111	247
818	1114	246
819	1115	244
820	1117	243
821	1118	242
822	1119	240
823	1120	239
824	1122	238
825	1123	236
826	1124	235
827	1125	233
828	1127	232
829	1128	231
830	1129	229
831	1130	228
832	1132	227
833	1133	225
834	1135	224
835	1136	222
836	1137	221
837	1138	220
838	1140	218
839	1141	217
840	1142	216
841	1143	214
842	1145	213
843	1146	211
844	1147	210
845	1148	209
846	1149	207
847	1150	206
848	1151	204
849	1153	203
850	1154	202
851	1155	200
852	1156	199
853	1158	198
854	1159	196
855	1160	195
856	1161	193
857	1162	192
858	1164	191
859	1165	189
860	1166	188
861	1167	186
862	1168	185
863	1171	184
864	1172	182
865	1173	181
866	1174	180
867	1175	178
868	1177	177
869	1178	176
870	1180	174
871	1181	173
872	1183	172
873	1184	170
874	1185	169
875	1187	168
876	1188	166
877	1190	165
878	1191	163
879	1192	162
880	1193	161
881	1194	159
882	1195	158
883	1196	157
884	1197	155
885	1198	154
886	1200	152
887	1201	151
888	1202	150
889	1203	148
890	1204	147
891	1205	146
892	1207	144
893	1208	143
894	1209	141
895	1210	140
896	1211	139
897	1212	137
898	1214	136
899	1215	135
900	1216	133
901	1217	132
902	1218	130
903	1220	129
904	1221	128
905	1222	126
906	1223	125
907	1225	124
908	1227	122
909	1229	121
910	1230	120
911	1231	118
912	1233	117
913	1234	116
914	1235	114
915	1236	113
916	1237	111
917	1238	110
918	1239	109
919	1240	107
920	1241	106
921	1242	105
922	1244	103
923	1245	102
924	1247	101
925	1248	99
926	1249	98
927	1251	97
928	1252	95
929	1253	94
930	1254	92
931	1256	91
932	1257	90
933	1258	88
934	1259	87
935	1260	86
936	1262	84
937	1263	83
938	1264	82
939	1266	80
940	1267	79
941	1268	78
